Name,Zone,Type,Driver,Prefix,PV,Max,Min,Description
HCOR01,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:HCOR01,16.67,-16.67,Horizontal Corrector Magnet HCOR01
HCOR02,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:HCOR02,16.67,-16.67,Horizontal Corrector Magnet HCOR02
HCOR03,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:HCOR03,16.67,-16.67,Horizontal Corrector Magnet HCOR03
HCOR04,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:HCOR04,16.67,-16.67,Horizontal Corrector Magnet HCOR04
HCOR05,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:HCOR05,16.67,-16.67,Horizontal Corrector Magnet HCOR05
HCOR06,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:HCOR06,16.67,-16.67,Horizontal Corrector Magnet HCOR06
HCOR07,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:HCOR07,16.67,-16.67,Horizontal Corrector Magnet HCOR07
QUAD01,TM,QUA,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:QUAD01,100,-100,Quadrupole Magnet QUAD01
QUAD02,TM,QUA,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:QUAD02,100,-100,Quadrupole Magnet QUAD02
QUAD03,TM,QUA,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:QUAD03,100,-100,Quadrupole Magnet QUAD03
SOL01,TM,SOL,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:SOL01,500,-500,Solenoid Magnet SOL01
SOL02,TM,SOL,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:SOL02,500,-500,Solenoid Magnet SOL02
VCOR01,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:VCOR01,16.67,-16.67,Vertical Corrector Magnet VCOR01
VCOR02,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:VCOR02,16.67,-16.67,Vertical Corrector Magnet VCOR02
VCOR03,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:VCOR03,16.67,-16.67,Vertical Corrector Magnet VCOR03
VCOR04,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:VCOR04,16.67,-16.67,Vertical Corrector Magnet VCOR04
VCOR05,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:VCOR05,16.67,-16.67,Vertical Corrector Magnet VCOR05
VCOR06,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:VCOR06,16.67,-16.67,Vertical Corrector Magnet VCOR06
VCOR07,TM,COR,sim,UNISIM:LEL:MAG,UNISIM:LEL:MAG:VCOR07,16.67,-16.67,Vertical Corrector Magnet VCOR07
