Name,Type,Zone,Prefix,Alias,PvName,OPI
GAUG01:CC,1,M1,LEL:VAC:VGCON01,GAUCC01,PRES,agilentXgs600/agilentXgs600Img.bob
GAUG02:CC,1,M1,LEL:VAC:VGCON01,GAUCC02,PRES,agilentXgs600/agilentXgs600Img.bob
GAUG03:CC,1,M1,LEL:VAC:VGCON01,GAUCC03,PRES,agilentXgs600/agilentXgs600Img.bob
GAUG04:CC,1,M1,LEL:VAC:VGCON01,GAUCC04,PRES,agilentXgs600/agilentXgs600Img.bob
GAUG05:CC,1,M3,LEL:VAC:VGCON02,GAUCC05,PRES,agilentXgs600/agilentXgs600Img.bob
GAUG06:CC,1,M3,LEL:VAC:VGCON02,GAUCC06,PRES,agilentXgs600/agilentXgs600Img.bob
GAUG07:CC,1,M3,LEL:VAC:VGCON02,GAUCC07,PRES,agilentXgs600/agilentXgs600Img.bob
GAUG08:CC,1,M3,LEL:VAC:VGCON02,GAUCC08,PRES,agilentXgs600/agilentXgs600Img.bob
IONP01,0,M1,LEL:VAC:VPCON17,IONP01,PRES,agilent4uhv/agilent4uhv.bob
IONP02,0,M1,LEL:VAC:VPCON17,IONP02,PRES,agilent4uhv/agilent4uhv.bob
IONP03,0,M1,LEL:VAC:VPCON17,IONP03,PRES,agilent4uhv/agilent4uhv.bob
IONP04,0,M1,LEL:VAC:VPCON17,IONP04,PRES,agilent4uhv/agilent4uhv.bob

IONP05,0,M1,LEL:VAC:VPCON19,IONP05,PRES,agilent4uhv/agilent4uhv.bob
IONP06,0,M1,LEL:VAC:VPCON19,IONP06,PRES,agilent4uhv/agilent4uhv.bob
IONP07,0,M1,LEL:VAC:VPCON19,IONP07,PRES,agilent4uhv/agilent4uhv.bob
IONP08,0,M1,LEL:VAC:VPCON19,IONP08,PRES,agilent4uhv/agilent4uhv.bob

IONP01,0,M1,LEL:VAC:VPCON16,IONP09,PRES,agilent4uhv/agilent4uhv.bob
IONP02,0,M1,LEL:VAC:VPCON16,IONP10,PRES,agilent4uhv/agilent4uhv.bob
IONP03,0,M1,LEL:VAC:VPCON16,IONP11,PRES,agilent4uhv/agilent4uhv.bob
IONP04,0,M1,LEL:VAC:VPCON16,IONP12,PRES,agilent4uhv/agilent4uhv.bob

IONP01,0,M1,LEL:VAC:VPCON18,IONP13,PRES,agilent4uhv/agilent4uhv.bob
IONP02,0,M1,LEL:VAC:VPCON18,IONP14,PRES,agilent4uhv/agilent4uhv.bob
IONP03,0,M1,LEL:VAC:VPCON18,IONP15,PRES,agilent4uhv/agilent4uhv.bob
IONP04,0,M1,LEL:VAC:VPCON18,IONP16,PRES,agilent4uhv/agilent4uhv.bob

IONP01,0,M1,LEL:VAC:VPCON20,IONP17,PRES,agilent4uhv/agilent4uhv.bob
IONP02,0,M1,LEL:VAC:VPCON20,IONP18,PRES,agilent4uhv/agilent4uhv.bob
IONP03,0,M1,LEL:VAC:VPCON20,IONP19,PRES,agilent4uhv/agilent4uhv.bob
IONP04,0,M1,LEL:VAC:VPCON20,IONP20,PRES,agilent4uhv/agilent4uhv.bob

IONP01,0,WGS1,LEL:VAC:WGS1:VPCON01,IONP01,PRES,agilent4uhv/agilent4uhv.bob
IONP02,0,WGS1,LEL:VAC:WGS1:VPCON01,IONP02,PRES,agilent4uhv/agilent4uhv.bob
IONP03,0,WGS1,LEL:VAC:WGS1:VPCON01,IONP03,PRES,agilent4uhv/agilent4uhv.bob
IONP04,0,WGS1,LEL:VAC:WGS1:VPCON01,IONP04,PRES,agilent4uhv/agilent4uhv.bob
IONP05,0,WGS1,LEL:VAC:WGS1:VPCON02,IONP05,PRES,agilent4uhv/agilent4uhv.bob
IONP06,0,WGS1,LEL:VAC:WGS1:VPCON02,IONP06,PRES,agilent4uhv/agilent4uhv.bob
IONP07,0,WGS1,LEL:VAC:WGS1:VPCON02,IONP07,PRES,agilent4uhv/agilent4uhv.bob
IONP08,0,WGS1,LEL:VAC:WGS1:VPCON02,IONP08,PRES,agilent4uhv/agilent4uhv.bob

